year,avgtemp,avgtempuncert
1900,8.501583333,0.31475
1901,8.541916667,0.30625
1902,8.304416667,0.29275
1903,8.220166667,0.29
1904,8.090916667,0.286416667
1905,8.225166667,0.27875
1906,8.379083333,0.274916667
1907,7.947166667,0.257166667
1908,8.186083333,0.27475
1909,8.17825,0.26275
1910,8.223,0.260083333
1911,8.177,0.247833333
1912,8.165416667,0.258416667
1913,8.29775,0.26225
1914,8.5905,0.251916667
1915,8.593166667,0.246166667
1916,8.22525,0.260416667
1917,8.023333333,0.260666667
1918,8.130833333,0.26825
1919,8.38225,0.26675
1920,8.35875,0.262666667
1921,8.571,0.256833333
1922,8.408,0.258583333
1923,8.422166667,0.253083333
1924,8.506833333,0.256833333
1925,8.534416667,0.24075
1926,8.728833333,0.242666667
1927,8.522083333,0.248916667
1928,8.632166667,0.248583333
1929,8.242416667,0.25175
1930,8.633583333,0.239666667
1931,8.71925,0.23775
1932,8.70525,0.248916667
1933,8.33825,0.242666667
1934,8.628333333,0.240083333
1935,8.51575,0.235916667
1936,8.554,0.243083333
1937,8.698333333,0.240083333
1938,8.863666667,0.2405
1939,8.760333333,0.237333333
1940,8.764666667,0.231083333
1941,8.768666667,0.227833333
1942,8.728416667,0.2295
1943,8.755083333,0.226583333
1944,8.845,0.225166667
1945,8.584833333,0.220333333
1946,8.676916667,0.222416667
1947,8.797083333,0.217083333
1948,8.74675,0.209583333
1949,8.58675,0.20825
1950,8.36525,0.186333333
1951,8.625666667,0.184166667
1952,8.63825,0.20875
1953,8.87375,0.212083333
1954,8.560666667,0.187166667
1955,8.62625,0.153583333
1956,8.279583333,0.120833333
1957,8.7325,0.158
1958,8.77375,0.104333333
1959,8.732666667,0.107166667
1960,8.58375,0.0935
1961,8.797666667,0.097
1962,8.745916667,0.132916667
1963,8.856,0.092333333
1964,8.409666667,0.0925
1965,8.527416667,0.108833333
1966,8.599333333,0.09225
1967,8.700083333,0.083666667
1968,8.516333333,0.111666667
1969,8.595083333,0.085166667
1970,8.700916667,0.075583333
1971,8.59925,0.097916667
1972,8.499583333,0.095333333
1973,8.94825,0.10075
1974,8.4675,0.1045
1975,8.744833333,0.097083333
1976,8.34725,0.100583333
1977,8.85025,0.084666667
1978,8.69275,0.103833333
1979,8.733416667,0.086416667
1980,8.980333333,0.106666667
1981,9.165833333,0.08725
1982,8.639166667,0.082666667
1983,9.028166667,0.094
1984,8.691833333,0.102583333
1985,8.658,0.09325
1986,8.833583333,0.085
1987,8.994416667,0.085166667
1988,9.201583333,0.080083333
1989,8.922,0.088
1990,9.234166667,0.086333333
1991,9.179416667,0.062083333
1992,8.836583333,0.083333333
1993,8.866583333,0.081333333
1994,9.03875,0.070916667
1995,9.347083333,0.076416667
1996,9.038916667,0.08475
1997,9.202583333,0.088583333
1998,9.522666667,0.073916667
1999,9.285083333,0.07925
2000,9.201166667,0.0835
2001,9.414583333,0.087416667
2002,9.570416667,0.072416667
2003,9.525583333,0.090666667
2004,9.324583333,0.083416667
2005,9.700916667,0.075166667
2006,9.5325,0.09
2007,9.732166667,0.0895
2008,9.43175,0.078916667
2009,9.50525,0.085916667
2010,9.703083333,0.083416667
2011,9.516,0.082
2012,9.507333333,0.083416667
2013,9.6065,0.097666667
2014,9.570666667,0.090166667
2015,9.831,0.092166667
